63

0   V0, pass 1,  phi<0.01
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.39  0.0000  0.0100   26.46  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.002290   1.2486   0.0030   0.0137   0.0030   0.0137
  1 0 1   0.001730   0.5756   0.0037   0.0220   0.0037   0.0220
  2 0 2   0.001600   0.3803   0.0050   0.0151   0.0050   0.0151
  3 0 3   0.001370   0.2514   0.0052   0.0107   0.0052   0.0107
  4 1 0   0.000800   0.0542   0.0075   0.0103   0.0075   0.0103
  5 1 1   0.000830   0.0278   0.0047   0.0029   0.0047   0.0029
  6 1 2   0.000710   0.0227   0.0048   0.0021   0.0048   0.0021
  7 1 3   0.000600   0.0097   0.0045   0.0018   0.0045   0.0018
  8 1 4   0.000520   0.0083   0.0046   0.0023   0.0046   0.0023
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000930   0.0425   0.0053   0.0025   0.0053   0.0025
 12 2 1   0.000730   0.0265   0.0045   0.0013   0.0045   0.0013
 13 2 2   0.000720   0.0161   0.0053   0.0009   0.0053   0.0009
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.005200   0.5652   0.0105   0.1131   0.0105   0.1131
 19 3 1   0.005200   0.3526   0.0107   0.1138   0.0107   0.1138
 20 3 2   0.004920   0.3216   0.0289   0.1111   0.0289   0.1111
 21 3 3   0.004990   0.2692   0.0381   0.1274   0.0381   0.1274
 22 4 0   0.001650   0.0955   0.0197   0.0887   0.0197   0.0912
 23 4 1   0.001590   0.1049   0.0224   0.1002   0.0224   0.1002
 24 4 2   0.001280   0.1014   0.0283   0.0988   0.0233   0.0988
 25 4 3   0.001040   0.1018   0.0201   0.1045   0.0201   0.1045
 26 4 4   0.000690   0.0956   0.0209   0.0966   0.0209   0.0966
 27 4 5   0.000580   0.1029   0.0157   0.1024   0.0157   0.1024
 28 5 0   0.001660   0.1025   0.0236   0.0982   0.0236   0.0982
 29 5 1   0.001460   0.1008   0.0178   0.0988   0.0178   0.0988
 30 5 2   0.001180   0.1062   0.0235   0.1007   0.0235   0.1007
 31 5 3   0.000680   0.0909   0.0182   0.0934   0.0182   0.0934
 32 5 4   0.000610   0.0910   0.0165   0.0908   0.0165   0.0908
 33 5 5   0.000280   0.0991   0.0138   0.0981   0.0138   0.0981
 34 6 0   0.004840   1.0707   0.0221   1.0442   0.0221   1.0442
 35 6 1   0.006340   1.0989   0.1514   1.1398   0.1361   1.1398
 36 7 0   0.004380   0.9575   0.3066   0.9408   0.3066   0.9408
 37 7 1   0.003500   0.8203   0.1335   0.5555   0.2172   0.8030
 38 7 2   0.002600   0.8617   0.3086   0.8388   0.2419   0.8388
 39 7 3   0.002030   0.9474   0.2873   0.9172   0.2872   0.9172
 40 7 4   0.001680   0.9429   0.2638   0.9260   0.2638   0.9190
 41 7 5   0.003060   0.9435   0.2357   0.9385   0.2357   0.9385
 42 8 0   0.004590   0.9369   0.2775   0.8928   0.2514   0.8928
 43 8 1   0.005220   0.8397   0.2157   0.8117   0.2349   0.8147
 44 8 2   0.004530   0.7750   0.2060   0.7669   0.2030   0.7669
 45 8 3   0.001780   0.7749   0.2647   0.7636   0.2647   0.7636
 46 8 4   0.001560   0.9714   0.2366   0.9489   0.2366   0.9489
 47 8 5   0.000960   0.8865   0.2007   0.8807   0.1957   0.8807

2  V0, pass 1, phi<0.03 
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.30  0.0200  0.0300   27.12  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.005600   0.1756   0.0565   0.1098   0.0565   0.1098
  3 0 3   0.006480   2.0130   0.0970   0.1834   0.0970   0.1834
  4 1 0   0.004950   0.0623   0.0753   0.0482   0.0813   0.0461
  5 1 1   0.002700   1.0095   0.0402   0.0358   0.0402   0.0358
  6 1 2   0.002620   0.4296   0.0430   0.0307   0.0430   0.0307
  7 1 3   0.003110   0.0295   0.0460   0.0293   0.0460   0.0293
  8 1 4   0.001960   0.3989   0.0302   0.0170   0.0302   0.0170
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.005100   0.0562   0.0816   0.0424   0.0846   0.0494
 12 2 1   0.002720   0.0454   0.0345   0.0405   0.0345   0.0405
 13 2 2   0.003320   0.1106   0.0396   0.0389   0.0396   0.0389
 14 2 3   0.002870   0.0313   0.0451   0.0295   0.0451   0.0295
 15 2 4   0.001460   0.0174   0.0279   0.0163   0.0279   0.0163
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.011940   0.5877   0.2986   0.4630   0.2996   0.5587
 19 3 1   0.010140   3.2291   0.3390   0.4601   0.3390   0.4601
 20 3 2   0.009150   3.7840   0.3766   0.5368   0.3766   0.5368
 21 3 3   0.009900   3.6149   0.4307   0.4696   0.4307   0.4696
 22 4 0   0.013190   4.3516   0.3468   0.3603   0.3607   0.3603
 23 4 1   0.015690   1.3915   0.3091   0.2470   0.3827   0.2470
 24 4 2   0.012670   3.5236   0.2759   0.3176   0.2828   0.3176
 25 4 3   0.004190   3.2926   0.2828   0.4046   0.2828   0.4046
 26 4 4   0.005760   3.0761   0.2683   0.5526   0.2683   0.5526
 27 4 5   0.005340   0.6260   0.2311   0.6795   0.2311   0.6795
 28 5 0   0.011550   1.5622   0.2715   0.4050   0.3794   0.4050
 29 5 1   0.014360   5.1077   0.3045   0.4542   0.3235   0.3731
 30 5 2   0.012510   3.3268   0.3107   0.3245   0.3107   0.3009
 31 5 3   0.014050   1.1181   0.2816   0.3701   0.2816   0.3701
 32 5 4   0.004630   0.9427   0.2332   0.6986   0.2332   0.6986
 33 5 5   0.004710   0.7014   0.2820   0.4994   0.2820   0.4994
 34 6 0   0.011740   1.3131   0.4409   0.8806   0.4409   0.8806
 35 6 1   0.015980   2.1544   0.6925   2.2150   1.4625   2.2150
 36 7 0   0.009920   1.5860   0.7818   1.7077   0.7818   1.7077
 37 7 1   0.010910   1.8867   1.2120   1.8126   1.2120   1.8126
 38 7 2   0.011590   1.7691   0.6689   1.7164   0.6964   1.5770
 39 7 3   0.013080   1.9441   1.0893   2.0068   1.0893   2.0068
 40 7 4   0.035720   1.9134   0.8083   1.9504   0.8083   2.1639
 41 7 5   0.018230   2.3376   1.1508   2.3479   2.6478   2.3820
 42 8 0   0.009910   1.4477   0.8358   1.5718   0.8358   1.6301
 43 8 1   0.015850   1.8009   0.7231   1.6900   0.8544   1.4837
 44 8 2   0.014400   1.7429   0.8300   1.6815   0.7186   1.8705
 45 8 3   0.016460   1.8001   0.7308   1.8158   1.0941   1.9550
 46 8 4   0.017220   2.2822   0.7814   2.5296   0.9675   2.5296
 47 8 5   0.057700   2.2951   1.5472   2.5630   1.5472   2.9198
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.003190   1.3911   0.0044   0.0148   0.0044   0.0148
  1 0 1   0.002390   0.6123   0.0044   0.0191   0.0044   0.0191
  2 0 2   0.002370   0.3373   0.0037   0.0207   0.0037   0.0207
  3 0 3   0.002260   0.2370   0.0100   0.0098   0.0100   0.0098
  4 1 0   0.001250   0.0445   0.0047   0.0158   0.0047   0.0158
  5 1 1   0.001040   0.0286   0.0045   0.0024   0.0045   0.0024
  6 1 2   0.000860   0.0164   0.0052   0.0022   0.0052   0.0022
  7 1 3   0.000900   0.0111   0.0048   0.0022   0.0048   0.0022
  8 1 4   0.000710   0.0072   0.0039   0.0013   0.0039   0.0013
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.001150   0.0376   0.0058   0.0088   0.0058   0.0088
 12 2 1   0.000990   0.0249   0.0046   0.0018   0.0046   0.0018
 13 2 2   0.000950   0.0186   0.0051   0.0022   0.0051   0.0022
 14 2 3   0.000810   0.0123   0.0036   0.0020   0.0036   0.0020
 15 2 4   0.000640   0.0082   0.0034   0.0017   0.0034   0.0017
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.007910   0.5156   0.0128   0.1106   0.0138   0.1106
 19 3 1   0.007380   0.3509   0.0115   0.1135   0.0115   0.1135
 20 3 2   0.007430   0.3027   0.0132   0.1162   0.0132   0.1162
 21 3 3   0.008590   0.2850   0.0181   0.1848   0.0181   0.1848
 22 4 0   0.002260   0.1146   0.0292   0.0986   0.0228   0.1016
 23 4 1   0.002500   0.1106   0.0316   0.0986   0.0316   0.0986
 24 4 2   0.001870   0.1105   0.0338   0.0973   0.0338   0.1003
 25 4 3   0.001740   0.1069   0.0300   0.1039   0.0300   0.1039
 26 4 4   0.001050   0.1069   0.0283   0.1024   0.0283   0.1024
 27 4 5   0.000670   0.1058   0.0259   0.0999   0.0259   0.0999
 28 5 0   0.002480   0.1095   0.0261   0.0976   0.0261   0.0976
 29 5 1   0.002060   0.0939   0.0408   0.0948   0.0408   0.0948
 30 5 2   0.001750   0.1070   0.0387   0.1028   0.0387   0.1028
 31 5 3   0.001320   0.1145   0.0339   0.1062   0.0339   0.1062
 32 5 4   0.000830   0.0991   0.0238   0.0978   0.0238   0.0978
 33 5 5   0.000610   0.1032   0.0220   0.1002   0.0220   0.1002
 34 6 0   0.008380   1.0651   0.0201   1.0452   0.0201   1.0452
 35 6 1   0.013330   1.2787   0.0382   1.0870   0.0835   1.1168
 36 7 0   0.007110   0.9324   0.6840   0.8548   0.5448   0.8548
 37 7 1   0.005240   0.9389   0.5021   0.8720   0.4869   0.7857
 38 7 2   0.004440   0.9480   0.5255   0.8932   0.5255   0.8932
 39 7 3   0.003150   0.9762   0.5129   0.8483   0.5129   0.9409
 40 7 4   0.002190   0.9273   0.3766   0.8671   0.3766   0.9046
 41 7 5   0.001510   0.9734   0.3824   0.9507   0.3324   0.9507
 42 8 0   0.009070   0.9674   0.4284   0.8435   0.4573   0.7986
 43 8 1   0.006030   0.9414   0.3979   0.8935   0.3569   0.8935
 44 8 2   0.003890   0.9120   0.4335   0.8389   0.4335   0.8590
 45 8 3   0.002890   0.9351   0.4587   0.9019   0.4587   0.9019
 46 8 4   0.001840   0.9372   0.3444   0.9048   0.3228   0.9048
 47 8 5   0.004980   0.9791   0.2750   0.9433   0.2465   0.9033

3  V0,  phi<0.04, pass 1
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.96  0.0300  0.0400   27.20  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.006490   0.2277   0.0745   0.1497   0.0745   0.1497
  3 0 3   0.006830   0.1755   0.1368   0.2018   0.1368   0.2018
  4 1 0   0.006030   0.0604   0.0940   0.0611   0.0940   0.0611
  5 1 1   0.002880   0.0403   0.0471   0.0437   0.0471   0.0437
  6 1 2   0.002840   1.9504   0.0429   0.0360   0.0429   0.0360
  7 1 3   0.002950   0.0368   0.0528   0.0366   0.0528   0.0366
  8 1 4   0.002400   0.0252   0.0388   0.0240   0.0388   0.0240
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.006150   1.1242   0.1049   0.0598   0.1049   0.0713
 12 2 1   0.003650   5.2818   0.0438   0.0470   0.0438   0.0470
 13 2 2   0.003390   0.0394   0.0516   0.0386   0.0516   0.0386
 14 2 3   0.003230   0.0341   0.0471   0.0339   0.0471   0.0339
 15 2 4   0.002190   0.0265   0.0371   0.0283   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.015030   0.7859   0.3880   0.7684   0.3507   0.7430
 19 3 1   0.010460   0.6555   0.3446   0.6250   0.3446   0.6250
 20 3 2   0.014200   0.7428   0.5532   0.6691   0.5532   0.6691
 21 3 3   0.015710   1.0027   0.5250   0.8287   0.5250   0.8287
 22 4 0   0.011930   0.4032   0.5274   0.3822   0.5274   0.3822
 23 4 1   0.015400   0.3319   0.3475   0.4239   0.3475   0.4239
 24 4 2   0.015820   0.4308   0.3792   0.4291   0.3437   0.4291
 25 4 3   0.006310   0.5374   0.3318   0.4833   0.3318   0.4833
 26 4 4   0.008200   0.8718   0.3203   0.8140   0.3203   0.8140
 27 4 5   0.007560   0.9943   0.2912   0.8003   0.2912   0.8003
 28 5 0   0.022420   2.5032   0.5716   0.7088   0.5656   0.7088
 29 5 1   0.011810   0.6839   0.2089   0.3106   0.4002   0.3106
 30 5 2   0.019750   0.3545   0.3306   0.3537   0.3529   0.3537
 31 5 3   0.006360   0.5392   0.2429   0.5644   0.2429   0.5644
 32 5 4   0.007830   1.0189   0.2234   0.7841   0.2234   0.7841
 33 5 5   0.006790   0.6271   0.3549   0.6725   0.3549   0.6725
 34 6 0   0.021920   1.1449   0.7057   0.9531   0.7057   0.9531
 35 6 1   0.145130   3.8797   3.2271   3.2119   3.2271   3.2119
 36 7 0   0.017610   1.3065   1.3548   1.7533   1.3548   1.7533
 37 7 1   0.021890   1.6328   1.2007   2.0771   1.2007   2.0771
 38 7 2   0.020120   1.5750   1.1152   1.6308   1.1215   1.6338
 39 7 3   0.023060   1.8500   1.0947   1.9612   1.0947   2.4592
 40 7 4   0.030920   2.3881   1.0566   2.8447   1.0566   3.1984
 41 7 5   0.030290   2.9999   1.2459   3.3241   1.1660   3.3340
 42 8 0   0.024320   1.8491   2.2144   2.5814   2.2144   2.5814
 43 8 1   0.027170   2.2511   1.0942   2.1364   1.4813   2.1364
 44 8 2   0.021690   1.5132   1.0141   1.6976   0.8819   2.0540
 45 8 3   0.027940   2.2533   0.9548   2.6117   0.9548   2.6117
 46 8 4   0.031930   2.6168   1.1694   3.1938   1.2035   3.2895
 47 8 5   0.024000   3.1510   1.6936   2.7677   1.6186   3.4407
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.003810   1.1970   0.0047   0.0186   0.0047   0.0186
  1 0 1   0.002990   0.5541   0.0058   0.0272   0.0058   0.0272
  2 0 2   0.003030   0.3082   0.0042   0.0182   0.0042   0.0182
  3 0 3   0.002830   0.2082   0.0082   0.0122   0.0082   0.0122
  4 1 0   0.001520   0.0311   0.0050   0.0021   0.0050   0.0021
  5 1 1   0.001230   0.0276   0.0055   0.0026   0.0055   0.0026
  6 1 2   0.001050   0.0185   0.0048   0.0020   0.0048   0.0020
  7 1 3   0.001200   0.0095   0.0043   0.0019   0.0043   0.0019
  8 1 4   0.000800   0.0069   0.0046   0.0026   0.0046   0.0026
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.001430   0.0482   0.0054   0.0062   0.0054   0.0062
 12 2 1   0.001270   0.0227   0.0052   0.0024   0.0052   0.0024
 13 2 2   0.001140   0.0171   0.0051   0.0024   0.0051   0.0024
 14 2 3   0.000930   0.0103   0.0050   0.0027   0.0050   0.0027
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
